SKU,Product Name,Cost,Current Price,Competitor Avg
IPHONE-15-PRO-128GB,Apple iPhone 15 Pro 128GB,799.99,1199.99,1149.99
SAMSUNG-S24-ULTRA,Samsung Galaxy S24 Ultra,749.99,1299.99,1249.99
MACBOOK-AIR-M3,MacBook Air M3 13-inch,999.99,1399.99,1379.99
AIRPODS-PRO-3,Apple AirPods Pro 3rd Gen,129.99,249.99,229.99
NINTENDO-SWITCH-OLED,Nintendo Switch OLED,219.99,349.99,339.99
SONY-WH1000XM5,Sony WH-1000XM5 Headphones,199.99,399.99,379.99
IPAD-PRO-12-M4,iPad Pro 12.9-inch M4,849.99,1299.99,1279.99
TESLA-MODEL-Y-MATS,Tesla Model Y Floor Mats,89.99,199.99,179.99
DYSON-V15-DETECT,Dyson V15 Detect Vacuum,399.99,749.99,699.99
RING-VIDEO-DOORBELL,Ring Video Doorbell Pro 2,149.99,279.99,259.99